period,minutes_remaining,seconds_remaning,action_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_made_flag,game_date,HTM,opponent
75,1,5,46,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,-2,9,0,20091118,BOS,GSW
76,2,10,56,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,25,-234,99,1,20091118,BOS,GSW
77,2,7,45,Reverse Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,-5,7,1,20091118,BOS,GSW
78,2,7,12,Step Back Jump shot,Mid-Range,Center(C),16-24 ft.,17,12,176,1,20091118,BOS,GSW
79,2,6,46,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,24,-138,208,0,20091118,BOS,GSW
80,2,1,0,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,25,132,213,0,20091118,BOS,GSW
81,4,9,12,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,23,113,205,0,20091118,BOS,GSW
82,4,7,45,Running Jump Shot,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,75,48,1,20091118,BOS,GSW
83,4,7,10,Jump Shot,Above the Break 3,Center(C),24+ ft.,25,15,250,0,20091118,BOS,GSW
84,1,8,35,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,26,168,209,0,20091120,GSW,POR
85,1,5,29,Pullup Jump shot,Above the Break 3,Left Side Center(LC),24+ ft.,26,-155,220,1,20091120,GSW,POR
86,2,9,31,Jump Shot,Mid-Range,Right Side(R),16-24 ft.,16,133,89,0,20091120,GSW,POR
87,2,4,30,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,18,83,162,0,20091120,GSW,POR
88,2,1,29,Pullup Jump shot,Above the Break 3,Left Side Center(LC),24+ ft.,27,-134,235,1,20091120,GSW,POR
89,3,10,11,Pullup Jump shot,Mid-Range,Center(C),16-24 ft.,19,59,183,0,20091120,GSW,POR
